Team,Won,Lost,Tied,Pct.,Years,Total Games,Conference
Michigan,962,346,36,0.729,140,1344,Big Ten
Ohio State 1,924,326,53,0.729,130,1303,Big Ten
Boise State,460,170,2,0.729,52,632,Mountain West
Notre Dame,908,326,42,0.728,130,1276,Independent
Alabama 2,916,331,43,0.727,125,1290,SEC
Oklahoma,908,327,53,0.726,125,1288,Big 12
Texas,916,375,33,0.704,127,1324,Big 12
Southern California 3,847,351,54,0.698,126,1252,Pac-12
Nebraska,902,395,40,0.69,130,1337,Big Ten
Penn State,898,393,41,0.69,133,1332,Big Ten
Tennessee,846,395,53,0.674,123,1294,SEC
Florida State 4,550,264,17,0.672,73,831,ACC
LSU,812,415,47,0.656,126,1274,SEC
Georgia,831,425,54,0.655,126,1310,SEC
Appalachian State,630,336,29,0.648,90,995,Sun Belt
Georgia Southern5,395,225,10,0.635,56,630,Sun Belt
Florida,735,420,40,0.632,113,1195,SEC
Miami (FL),636,367,19,0.632,94,1022,ACC
Auburn,776,445,47,0.631,127,1268,SEC
Coastal Carolina,127,77,0,0.623,17,204,Sun Belt
Clemson,758,460,45,0.618,124,1263,ACC
Washington,743,454,50,0.616,130,1247,Pac-12
Virginia Tech,751,478,46,0.607,126,1275,ACC
Arizona State,622,399,24,0.607,107,1045,Pac-12
Texas A&M,749,486,48,0.602,125,1283,SEC
Michigan State,708,465,44,0.6,123,1217,Big Ten
West Virginia,755,504,45,0.596,127,1304,Big 12
Miami (OH),698,467,44,0.596,131,1209,MAC
Utah,688,467,31,0.593,126,1186,Pac-12
Central Michigan,626,428,36,0.591,119,1090,MAC
Georgia Tech 6,738,511,43,0.588,127,1292,ACC
Western Kentucky,584,404,30,0.588,101,1018,C-USA
Wisconsin,715,499,53,0.585,131,1267,Big Ten
Fresno State,613,432,27,0.584,98,1072,Mountain West
UCLA,609,429,37,0.584,101,1075,Pac-12
Stanford,657,467,49,0.581,113,1173,Pac-12
Arkansas,717,514,40,0.58,126,1271,SEC
Southern Miss,597,429,26,0.58,103,1052,C-USA
Old Dominion,77,56,0,0.579,11,133,C-USA
Colorado,710,515,36,0.577,130,1261,Pac-12
BYU,582,427,26,0.575,95,1035,Independent
Pittsburgh,732,539,42,0.573,130,1313,ACC
Louisiana Tech,627,463,37,0.573,116,1127,C-USA
Bowling Green,545,400,52,0.573,101,997,MAC
Boston College,672,499,37,0.572,121,1208,ACC
Minnesota,706,524,44,0.571,136,1274,Big Ten
Oregon,669,499,46,0.57,124,1214,Pac-12
Middle Tennessee,585,438,28,0.57,105,1051,C-USA
South Florida,157,119,0,0.569,23,276,The American
